Vector content After:	7	8	79	16	25	55	71	91	99	
Vector content After:	3	27	94	37	65	67	91	95	97	
Vector content After:	6	15	63	26	32	47	54	82	97	
Vector content After:	4	11	87	27	36	56	78	93	98	
Vector content After:	23	25	68	35	48	53	54	87	96	
Vector content After:	13	28	78	41	42	63	66	92	94	
Vector content After:	2	25	86	48	54	78	85	94	95	
Vector content After:	30	33	74	50	55	56	72	79	98	
Vector content After:	7	19	90	28	62	82	88	94	100	
Vector content After:	23	26	83	32	37	54	70	97	100	
Vector content After:	12	13	89	27	30	49	63	96	97	
Vector content After:	11	17	58	18	32	39	45	74	93	
Vector content After:	18	23	52	28	31	35	39	65	66	
Vector content After:	2	4	61	6	11	27	42	67	91	
Vector content After:	27	34	86	53	67	77	83	91	95	
Vector content After:	5	6	63	8	20	43	45	68	70	
Vector content After:	9	41	94	54	61	67	86	98	100	
Vector content After:	5	12	64	23	25	36	53	66	89	
Vector content After:	6	7	58	16	18	23	28	96	98	
Vector content After:	5	26	92	39	55	72	89	98	99	
Vector content After:	15	18	69	24	46	61	62	73	74	
Vector content After:	6	25	79	44	59	63	67	81	83	
Vector content After:	4	32	59	38	40	44	58	76	90	
Vector content After:	15	19	65	25	39	60	64	80	93	
Vector content After:	15	23	78	37	51	60	66	87	96	
Vector content After:	7	12	60	27	28	35	46	71	80	
Vector content After:	4	5	71	37	44	59	60	82	93	
Vector content After:	27	28	76	33	34	51	52	81	93	
Vector content After:	3	6	67	37	46	50	54	73	86	
Vector content After:	23	45	68	48	53	58	61	74	78	
Vector content After:	21	25	81	56	58	67	70	90	98	
Vector content After:	3	11	63	24	42	54	60	81	94	
Vector content After:	18	26	81	43	59	74	75	88	91	
Vector content After:	2	20	85	33	67	71	78	88	100	
Vector content After:	22	34	85	37	53	54	56	88	100	
Vector content After:	7	14	48	18	37	41	44	64	89	
Vector content After:	9	22	87	29	40	48	81	93	100	
Vector content After:	3	15	74	22	30	33	45	80	84	
Vector content After:	5	12	80	21	24	26	71	84	85	
Vector content After:	5	6	80	7	11	53	78	93	97	
